date,employee_id,employee_name,pay_type,hours_worked,hourly_rate,salary_monthly,tips_reported,overtime_hours,bonus,deductions_other,pay_period_start,pay_period_end,tax_status_federal,tax_status_state,allowances,department,notes
2024-01-05,E501,Alex Rivera,hourly,38,19.25,,0,2,0,0,2023-12-30,2024-01-05,S,NY,1,Operations,Regular week
2024-01-12,E501,Alex Rivera,hourly,40,19.25,,0,0,0,0,2024-01-06,2024-01-12,S,NY,1,Operations,Full hours
2024-01-19,E501,Alex Rivera,hourly,37,19.25,,0,1,0,0,2024-01-13,2024-01-19,S,NY,1,Operations,Small OT
2024-01-26,E501,Alex Rivera,hourly,41,19.25,,0,1,0,0,2024-01-20,2024-01-26,S,NY,1,Operations,Small OT
2024-02-02,E501,Alex Rivera,hourly,39,19.25,,0,0,0,0,2024-01-27,2024-02-02,S,NY,1,Operations,Regular
2024-02-09,E501,Alex Rivera,hourly,40,19.25,,0,0,0,0,2024-02-03,2024-02-09,S,NY,1,Operations,Regular
2024-02-16,E501,Alex Rivera,hourly,41,19.25,,0,1,0,0,2024-02-10,2024-02-16,S,NY,1,Operations,Small OT
2024-02-23,E501,Alex Rivera,hourly,36,19.25,,0,0,0,0,2024-02-17,2024-02-23,S,NY,1,Operations,Short week
2024-03-01,E501,Alex Rivera,hourly,40,19.25,,0,0,200,0,2024-02-24,2024-03-01,S,NY,1,Operations,Spot bonus
2024-03-08,E501,Alex Rivera,hourly,40,19.25,,0,0,0,0,2024-03-02,2024-03-08,S,NY,1,Operations,Regular
2024-01-05,E502,Priya Shah,tipped-hourly,33,12.75,,98,0,0,0,2023-12-30,2024-01-05,M,NY,0,Service,Winter slowdown
2024-01-12,E502,Priya Shah,tipped-hourly,35,12.75,,132,0,0,0,2024-01-06,2024-01-12,M,NY,0,Service,Weekend rush
2024-01-19,E502,Priya Shah,tipped-hourly,31,12.75,,96,0,0,0,2024-01-13,2024-01-19,M,NY,0,Service,Short hours
2024-01-26,E502,Priya Shah,tipped-hourly,39,12.75,,152,1,0,0,2024-01-20,2024-01-26,M,NY,0,Service,Overtime + tips
2024-02-02,E502,Priya Shah,tipped-hourly,37,12.75,,115,0,0,0,2024-01-27,2024-02-02,M,NY,0,Service,Steady
2024-02-09,E502,Priya Shah,tipped-hourly,34,12.75,,92,0,0,0,2024-02-03,2024-02-09,M,NY,0,Service,Weekday shift
2024-02-16,E502,Priya Shah,tipped-hourly,39,12.75,,136,1,0,0,2024-02-10,2024-02-16,M,NY,0,Service,Busy week
2024-02-23,E502,Priya Shah,tipped-hourly,33,12.75,,80,0,0,0,2024-02-17,2024-02-23,M,NY,0,Service,Rainy days
2024-03-01,E502,Priya Shah,tipped-hourly,36,12.75,,126,0,0,0,2024-02-24,2024-03-01,M,NY,0,Service,Regular
2024-03-08,E502,Priya Shah,tipped-hourly,35,12.75,,122,0,0,0,2024-03-02,2024-03-08,M,NY,0,Service,Steady
2024-01-05,E503,Jordan Lee,salaried,0,,4350,0,0,0,0,2023-12-30,2024-01-05,S,NY,2,Admin,Monthly salary
2024-01-12,E503,Jordan Lee,salaried,0,,4350,0,0,0,0,2024-01-06,2024-01-12,S,NY,2,Admin,Monthly accrual
2024-01-19,E503,Jordan Lee,salaried,0,,4350,0,0,0,0,2024-01-13,2024-01-19,S,NY,2,Admin,Monthly accrual
2024-01-26,E503,Jordan Lee,salaried,0,,4350,0,0,0,0,2024-01-20,2024-01-26,S,NY,2,Admin,Monthly accrual
2024-02-02,E503,Jordan Lee,salaried,0,,4350,0,0,0,0,2024-01-27,2024-02-02,S,NY,2,Admin,Monthly accrual
2024-02-09,E503,Jordan Lee,salaried,0,,4350,0,0,0,0,2024-02-03,2024-02-09,S,NY,2,Admin,Monthly accrual
2024-02-16,E503,Jordan Lee,salaried,0,,4350,0,0,0,0,2024-02-10,2024-02-16,S,NY,2,Admin,Monthly accrual
2024-02-23,E503,Jordan Lee,salaried,0,,4350,0,0,0,0,2024-02-17,2024-02-23,S,NY,2,Admin,Monthly accrual
2024-03-01,E503,Jordan Lee,salaried,0,,4350,0,0,400,0,2024-02-24,2024-03-01,S,NY,2,Admin,Quarterly bonus
2024-03-08,E503,Jordan Lee,salaried,0,,4350,0,0,0,0,2024-03-02,2024-03-08,S,NY,2,Admin,Monthly accrual
2024-01-05,E504,Mia Chen,hourly,40,20.50,,0,0,0,0,2023-12-30,2024-01-05,S,NY,1,Design,Regular
2024-01-12,E504,Mia Chen,hourly,42,20.50,,0,2,0,0,2024-01-06,2024-01-12,S,NY,1,Design,Overtime
2024-01-19,E504,Mia Chen,hourly,38,20.50,,0,0,0,0,2024-01-13,2024-01-19,S,NY,1,Design,Regular
2024-01-26,E504,Mia Chen,hourly,36,20.50,,0,0,0,0,2024-01-20,2024-01-26,S,NY,1,Design,Short week
2024-02-02,E504,Mia Chen,hourly,40,20.50,,0,0,0,0,2024-01-27,2024-02-02,S,NY,1,Design,Regular
2024-02-09,E504,Mia Chen,hourly,41,20.50,,0,1,0,0,2024-02-03,2024-02-09,S,NY,1,Design,Client deadline
2024-02-16,E504,Mia Chen,hourly,39,20.50,,0,0,0,0,2024-02-10,2024-02-16,S,NY,1,Design,Regular
2024-02-23,E504,Mia Chen,hourly,40,20.50,,0,0,0,0,2024-02-17,2024-02-23,S,NY,1,Design,Regular
2024-03-01,E504,Mia Chen,hourly,43,20.50,,0,3,0,0,2024-02-24,2024-03-01,S,NY,1,Design,Overtime
2024-03-08,E504,Mia Chen,hourly,37,20.50,,0,0,0,0,2024-03-02,2024-03-08,S,NY,1,Design,Short week
2024-01-05,E505,Sam Torres,hourly,30,17.90,,0,0,0,0,2023-12-30,2024-01-05,M,NY,0,Support,Training
2024-01-12,E505,Sam Torres,hourly,32,17.90,,0,0,0,0,2024-01-06,2024-01-12,M,NY,0,Support,Building hours
2024-01-19,E505,Sam Torres,hourly,35,17.90,,0,0,0,0,2024-01-13,2024-01-19,M,NY,0,Support,Regular
2024-01-26,E505,Sam Torres,hourly,35,17.90,,0,0,0,0,2024-01-20,2024-01-26,M,NY,0,Support,Regular
2024-02-02,E505,Sam Torres,hourly,37,17.90,,0,0,0,0,2024-01-27,2024-02-02,M,NY,0,Support,Regular
2024-02-09,E505,Sam Torres,hourly,38,17.90,,0,0,0,0,2024-02-03,2024-02-09,M,NY,0,Support,Steady
2024-02-16,E505,Sam Torres,hourly,39,17.90,,0,1,0,0,2024-02-10,2024-02-16,M,NY,0,Support,Small OT
2024-02-23,E505,Sam Torres,hourly,36,17.90,,0,0,0,0,2024-02-17,2024-02-23,M,NY,0,Support,Regular
2024-03-01,E505,Sam Torres,hourly,40,17.90,,0,0,0,0,2024-02-24,2024-03-01,M,NY,0,Support,Regular
2024-03-08,E505,Sam Torres,hourly,40,17.90,,0,0,0,0,2024-03-02,2024-03-08,M,NY,0,Support,Regular
2024-01-05,E506,Lila Nguyen,salaried,0,,3925,0,0,0,0,2023-12-30,2024-01-05,M,NY,1,Finance,Monthly salary
2024-01-12,E506,Lila Nguyen,salaried,0,,3925,0,0,0,0,2024-01-06,2024-01-12,M,NY,1,Finance,Monthly accrual
2024-01-19,E506,Lila Nguyen,salaried,0,,3925,0,0,0,0,2024-01-13,2024-01-19,M,NY,1,Finance,Monthly accrual
2024-01-26,E506,Lila Nguyen,salaried,0,,3925,0,0,0,0,2024-01-20,2024-01-26,M,NY,1,Finance,Monthly accrual
2024-02-02,E506,Lila Nguyen,salaried,0,,3925,0,0,0,0,2024-01-27,2024-02-02,M,NY,1,Finance,Monthly accrual
2024-02-09,E506,Lila Nguyen,salaried,0,,3925,0,0,0,0,2024-02-03,2024-02-09,M,NY,1,Finance,Monthly accrual
2024-02-16,E506,Lila Nguyen,salaried,0,,3925,0,0,0,0,2024-02-10,2024-02-16,M,NY,1,Finance,Monthly accrual
2024-02-23,E506,Lila Nguyen,salaried,0,,3925,0,0,0,0,2024-02-17,2024-02-23,M,NY,1,Finance,Monthly accrual
2024-03-01,E506,Lila Nguyen,salaried,0,,3925,0,0,0,0,2024-02-24,2024-03-01,M,NY,1,Finance,Monthly accrual
2024-03-08,E506,Lila Nguyen,salaried,0,,3925,0,0,0,0,2024-03-02,2024-03-08,M,NY,1,Finance,Monthly accrual
2024-01-05,E507,Chris Park,hourly,43,23.25,,0,3,0,0,2023-12-30,2024-01-05,S,NY,0,Operations,Overtime
2024-01-12,E507,Chris Park,hourly,40,23.25,,0,0,0,0,2024-01-06,2024-01-12,S,NY,0,Operations,Regular
2024-01-19,E507,Chris Park,hourly,40,23.25,,0,0,0,0,2024-01-13,2024-01-19,S,NY,0,Operations,Regular
2024-01-26,E507,Chris Park,hourly,42,23.25,,0,2,0,0,2024-01-20,2024-01-26,S,NY,0,Operations,OT
2024-02-02,E507,Chris Park,hourly,39,23.25,,0,0,0,0,2024-01-27,2024-02-02,S,NY,0,Operations,Regular
2024-02-09,E507,Chris Park,hourly,38,23.25,,0,0,0,0,2024-02-03,2024-02-09,S,NY,0,Operations,Regular
2024-02-16,E507,Chris Park,hourly,41,23.25,,0,1,0,0,2024-02-10,2024-02-16,S,NY,0,Operations,Small OT
2024-02-23,E507,Chris Park,hourly,37,23.25,,0,0,0,0,2024-02-17,2024-02-23,S,NY,0,Operations,Short week
2024-03-01,E507,Chris Park,hourly,40,23.25,,0,0,0,0,2024-02-24,2024-03-01,S,NY,0,Operations,Regular
2024-03-08,E507,Chris Park,hourly,42,23.25,,0,2,0,0,2024-03-02,2024-03-08,S,NY,0,Operations,OT
2024-01-05,E508,Dana Brooks,hourly,31,16.75,,0,0,0,0,2023-12-30,2024-01-05,S,NY,1,Sales,Part time
