date,employee_id,employee_name,pay_type,hours_worked,hourly_rate,salary_monthly,tips_reported,overtime_hours,bonus,deductions_other,pay_period_start,pay_period_end,tax_status_federal,tax_status_state,allowances,department,notes
2024-01-05,E301,Alex Rivera,hourly,38,19.00,,0,2,0,0,2023-12-30,2024-01-05,S,WA,1,Operations,Regular week
2024-01-12,E301,Alex Rivera,hourly,40,19.00,,0,0,0,0,2024-01-06,2024-01-12,S,WA,1,Operations,Full hours
2024-01-19,E301,Alex Rivera,hourly,36,19.00,,0,0,0,0,2024-01-13,2024-01-19,S,WA,1,Operations,Left early one day
2024-01-26,E301,Alex Rivera,hourly,42,19.00,,0,4,0,0,2024-01-20,2024-01-26,S,WA,1,Operations,Overtime
2024-02-02,E301,Alex Rivera,hourly,39,19.00,,0,1,0,0,2024-01-27,2024-02-02,S,WA,1,Operations,Small OT
2024-02-09,E301,Alex Rivera,hourly,40,19.00,,0,0,0,0,2024-02-03,2024-02-09,S,WA,1,Operations,Regular
2024-02-16,E301,Alex Rivera,hourly,41,19.00,,0,1,0,0,2024-02-10,2024-02-16,S,WA,1,Operations,Small OT
2024-02-23,E301,Alex Rivera,hourly,37,19.00,,0,0,0,0,2024-02-17,2024-02-23,S,WA,1,Operations,Short week
2024-03-01,E301,Alex Rivera,hourly,40,19.00,,0,0,150,0,2024-02-24,2024-03-01,S,WA,1,Operations,Spot bonus
2024-03-08,E301,Alex Rivera,hourly,40,19.00,,0,0,0,0,2024-03-02,2024-03-08,S,WA,1,Operations,Regular
2024-01-05,E302,Priya Shah,tipped-hourly,32,12.50,,95,0,0,0,2023-12-30,2024-01-05,M,WA,0,Service,Winter slowdown
2024-01-12,E302,Priya Shah,tipped-hourly,35,12.50,,130,0,0,0,2024-01-06,2024-01-12,M,WA,0,Service,Weekend rush
2024-01-19,E302,Priya Shah,tipped-hourly,30,12.50,,90,0,0,0,2024-01-13,2024-01-19,M,WA,0,Service,Short hours
2024-01-26,E302,Priya Shah,tipped-hourly,38,12.50,,145,1,0,0,2024-01-20,2024-01-26,M,WA,0,Service,Overtime + tips
2024-02-02,E302,Priya Shah,tipped-hourly,36,12.50,,112,0,0,0,2024-01-27,2024-02-02,M,WA,0,Service,Steady
2024-02-09,E302,Priya Shah,tipped-hourly,34,12.50,,90,0,0,0,2024-02-03,2024-02-09,M,WA,0,Service,Weekday shift
2024-02-16,E302,Priya Shah,tipped-hourly,39,12.50,,135,1,0,0,2024-02-10,2024-02-16,M,WA,0,Service,Busy week
2024-02-23,E302,Priya Shah,tipped-hourly,33,12.50,,78,0,0,0,2024-02-17,2024-02-23,M,WA,0,Service,Rainy days
2024-03-01,E302,Priya Shah,tipped-hourly,36,12.50,,125,0,0,0,2024-02-24,2024-03-01,M,WA,0,Service,Regular
2024-03-08,E302,Priya Shah,tipped-hourly,35,12.50,,118,0,0,0,2024-03-02,2024-03-08,M,WA,0,Service,Steady
2024-01-05,E303,Jordan Lee,salaried,0,,4150,0,0,0,0,2023-12-30,2024-01-05,S,WA,2,Admin,Monthly salary
2024-01-12,E303,Jordan Lee,salaried,0,,4150,0,0,0,0,2024-01-06,2024-01-12,S,WA,2,Admin,Monthly accrual
2024-01-19,E303,Jordan Lee,salaried,0,,4150,0,0,0,0,2024-01-13,2024-01-19,S,WA,2,Admin,Monthly accrual
2024-01-26,E303,Jordan Lee,salaried,0,,4150,0,0,0,0,2024-01-20,2024-01-26,S,WA,2,Admin,Monthly accrual
2024-02-02,E303,Jordan Lee,salaried,0,,4150,0,0,0,0,2024-01-27,2024-02-02,S,WA,2,Admin,Monthly accrual
2024-02-09,E303,Jordan Lee,salaried,0,,4150,0,0,0,0,2024-02-03,2024-02-09,S,WA,2,Admin,Monthly accrual
2024-02-16,E303,Jordan Lee,salaried,0,,4150,0,0,0,0,2024-02-10,2024-02-16,S,WA,2,Admin,Monthly accrual
2024-02-23,E303,Jordan Lee,salaried,0,,4150,0,0,0,0,2024-02-17,2024-02-23,S,WA,2,Admin,Monthly accrual
2024-03-01,E303,Jordan Lee,salaried,0,,4150,0,0,300,0,2024-02-24,2024-03-01,S,WA,2,Admin,Quarterly bonus
2024-03-08,E303,Jordan Lee,salaried,0,,4150,0,0,0,0,2024-03-02,2024-03-08,S,WA,2,Admin,Monthly accrual
2024-01-05,E304,Mia Chen,hourly,40,20.00,,0,0,0,0,2023-12-30,2024-01-05,S,WA,1,Design,Regular
2024-01-12,E304,Mia Chen,hourly,42,20.00,,0,2,0,0,2024-01-06,2024-01-12,S,WA,1,Design,Overtime
2024-01-19,E304,Mia Chen,hourly,38,20.00,,0,0,0,0,2024-01-13,2024-01-19,S,WA,1,Design,Regular
2024-01-26,E304,Mia Chen,hourly,36,20.00,,0,0,0,0,2024-01-20,2024-01-26,S,WA,1,Design,Short week
2024-02-02,E304,Mia Chen,hourly,40,20.00,,0,0,0,0,2024-01-27,2024-02-02,S,WA,1,Design,Regular
2024-02-09,E304,Mia Chen,hourly,41,20.00,,0,1,0,0,2024-02-03,2024-02-09,S,WA,1,Design,Client deadline
2024-02-16,E304,Mia Chen,hourly,39,20.00,,0,0,0,0,2024-02-10,2024-02-16,S,WA,1,Design,Regular
2024-02-23,E304,Mia Chen,hourly,40,20.00,,0,0,0,0,2024-02-17,2024-02-23,S,WA,1,Design,Regular
2024-03-01,E304,Mia Chen,hourly,43,20.00,,0,3,0,0,2024-02-24,2024-03-01,S,WA,1,Design,Overtime
