date,employee_id,employee_name,pay_type,hours_worked,hourly_rate,salary_monthly,tips_reported,overtime_hours,bonus,deductions_other,pay_period_start,pay_period_end,tax_status_federal,tax_status_state,allowances,department,notes
2024-01-05,E201,Alex Rivera,hourly,39,18.75,,0,1,0,0,2023-12-30,2024-01-05,S,CA,1,Operations,Regular week
2024-01-12,E201,Alex Rivera,hourly,40,18.75,,0,0,0,0,2024-01-06,2024-01-12,S,CA,1,Operations,Full hours
2024-01-19,E201,Alex Rivera,hourly,37,18.75,,0,0,0,0,2024-01-13,2024-01-19,S,CA,1,Operations,Left early
2024-01-26,E201,Alex Rivera,hourly,43,18.75,,0,3,0,0,2024-01-20,2024-01-26,S,CA,1,Operations,Overtime
2024-02-02,E201,Alex Rivera,hourly,40,18.75,,0,0,0,0,2024-01-27,2024-02-02,S,CA,1,Operations,Regular
2024-02-09,E201,Alex Rivera,hourly,40,18.75,,0,0,0,0,2024-02-03,2024-02-09,S,CA,1,Operations,Regular
2024-02-16,E201,Alex Rivera,hourly,41,18.75,,0,1,0,0,2024-02-10,2024-02-16,S,CA,1,Operations,Small OT
2024-02-23,E201,Alex Rivera,hourly,36,18.75,,0,0,0,0,2024-02-17,2024-02-23,S,CA,1,Operations,Short week
2024-03-01,E201,Alex Rivera,hourly,40,18.75,,0,0,100,0,2024-02-24,2024-03-01,S,CA,1,Operations,Spot bonus
2024-03-08,E201,Alex Rivera,hourly,39,18.75,,0,0,0,0,2024-03-02,2024-03-08,S,CA,1,Operations,Regular
2024-01-05,E202,Priya Shah,tipped-hourly,33,12.25,,92,0,0,0,2023-12-30,2024-01-05,M,CA,0,Service,Winter slowdown
2024-01-12,E202,Priya Shah,tipped-hourly,36,12.25,,128,0,0,0,2024-01-06,2024-01-12,M,CA,0,Service,Weekend rush
2024-01-19,E202,Priya Shah,tipped-hourly,31,12.25,,100,0,0,0,2024-01-13,2024-01-19,M,CA,0,Service,Short hours
2024-01-26,E202,Priya Shah,tipped-hourly,39,12.25,,150,1,0,0,2024-01-20,2024-01-26,M,CA,0,Service,Overtime + tips
2024-02-02,E202,Priya Shah,tipped-hourly,37,12.25,,114,0,0,0,2024-01-27,2024-02-02,M,CA,0,Service,Steady
2024-02-09,E202,Priya Shah,tipped-hourly,34,12.25,,90,0,0,0,2024-02-03,2024-02-09,M,CA,0,Service,Weekday shift
2024-02-16,E202,Priya Shah,tipped-hourly,38,12.25,,130,0,0,0,2024-02-10,2024-02-16,M,CA,0,Service,Busy week
2024-02-23,E202,Priya Shah,tipped-hourly,32,12.25,,80,0,0,0,2024-02-17,2024-02-23,M,CA,0,Service,Rainy days
2024-03-01,E202,Priya Shah,tipped-hourly,36,12.25,,122,0,0,0,2024-02-24,2024-03-01,M,CA,0,Service,Regular
2024-03-08,E202,Priya Shah,tipped-hourly,35,12.25,,120,0,0,0,2024-03-02,2024-03-08,M,CA,0,Service,Steady
2024-01-05,E203,Jordan Lee,salaried,0,,4300,0,0,0,0,2023-12-30,2024-01-05,S,CA,2,Admin,Monthly salary
2024-01-12,E203,Jordan Lee,salaried,0,,4300,0,0,0,0,2024-01-06,2024-01-12,S,CA,2,Admin,Monthly accrual
2024-01-19,E203,Jordan Lee,salaried,0,,4300,0,0,0,0,2024-01-13,2024-01-19,S,CA,2,Admin,Monthly accrual
2024-01-26,E203,Jordan Lee,salaried,0,,4300,0,0,0,0,2024-01-20,2024-01-26,S,CA,2,Admin,Monthly accrual
2024-02-02,E203,Jordan Lee,salaried,0,,4300,0,0,0,0,2024-01-27,2024-02-02,S,CA,2,Admin,Monthly accrual
2024-02-09,E203,Jordan Lee,salaried,0,,4300,0,0,0,0,2024-02-03,2024-02-09,S,CA,2,Admin,Monthly accrual
2024-02-16,E203,Jordan Lee,salaried,0,,4300,0,0,0,0,2024-02-10,2024-02-16,S,CA,2,Admin,Monthly accrual
2024-02-23,E203,Jordan Lee,salaried,0,,4300,0,0,0,0,2024-02-17,2024-02-23,S,CA,2,Admin,Monthly accrual
2024-03-01,E203,Jordan Lee,salaried,0,,4300,0,0,350,0,2024-02-24,2024-03-01,S,CA,2,Admin,Quarterly bonus
2024-03-08,E203,Jordan Lee,salaried,0,,4300,0,0,0,0,2024-03-02,2024-03-08,S,CA,2,Admin,Monthly accrual
2024-01-05,E204,Mia Chen,hourly,40,20.25,,0,0,0,0,2023-12-30,2024-01-05,S,CA,1,Design,Regular
2024-01-12,E204,Mia Chen,hourly,41,20.25,,0,1,0,0,2024-01-06,2024-01-12,S,CA,1,Design,Light OT
2024-01-19,E204,Mia Chen,hourly,39,20.25,,0,0,0,0,2024-01-13,2024-01-19,S,CA,1,Design,Regular
2024-01-26,E204,Mia Chen,hourly,37,20.25,,0,0,0,0,2024-01-20,2024-01-26,S,CA,1,Design,Short week
2024-02-02,E204,Mia Chen,hourly,40,20.25,,0,0,0,0,2024-01-27,2024-02-02,S,CA,1,Design,Regular
2024-02-09,E204,Mia Chen,hourly,42,20.25,,0,2,0,0,2024-02-03,2024-02-09,S,CA,1,Design,Client deadline
