date,employee_id,employee_name,pay_type,hours_worked,hourly_rate,salary_monthly,tips_reported,overtime_hours,bonus,deductions_other,pay_period_start,pay_period_end,tax_status_federal,tax_status_state,allowances,department,notes
2024-01-05,E401,Alex Rivera,hourly,37,18.25,,0,1,0,0,2023-12-30,2024-01-05,S,TX,1,Operations,Regular week
2024-01-12,E401,Alex Rivera,hourly,40,18.25,,0,0,0,0,2024-01-06,2024-01-12,S,TX,1,Operations,Full hours
2024-01-19,E401,Alex Rivera,hourly,35,18.25,,0,0,0,0,2024-01-13,2024-01-19,S,TX,1,Operations,Short day
2024-01-26,E401,Alex Rivera,hourly,41,18.25,,0,1,0,0,2024-01-20,2024-01-26,S,TX,1,Operations,Small OT
2024-02-02,E401,Alex Rivera,hourly,39,18.25,,0,0,0,0,2024-01-27,2024-02-02,S,TX,1,Operations,Regular
2024-02-09,E401,Alex Rivera,hourly,40,18.25,,0,0,0,0,2024-02-03,2024-02-09,S,TX,1,Operations,Regular
2024-02-16,E401,Alex Rivera,hourly,40,18.25,,0,0,0,0,2024-02-10,2024-02-16,S,TX,1,Operations,Regular
2024-02-23,E401,Alex Rivera,hourly,36,18.25,,0,0,0,0,2024-02-17,2024-02-23,S,TX,1,Operations,Short week
2024-03-01,E401,Alex Rivera,hourly,41,18.25,,0,1,125,0,2024-02-24,2024-03-01,S,TX,1,Operations,Spot bonus
2024-03-08,E401,Alex Rivera,hourly,40,18.25,,0,0,0,0,2024-03-02,2024-03-08,S,TX,1,Operations,Regular
2024-01-05,E402,Priya Shah,tipped-hourly,34,11.75,,78,0,0,0,2023-12-30,2024-01-05,M,TX,0,Service,Winter slowdown
2024-01-12,E402,Priya Shah,tipped-hourly,36,11.75,,110,0,0,0,2024-01-06,2024-01-12,M,TX,0,Service,Weekend rush
2024-01-19,E402,Priya Shah,tipped-hourly,32,11.75,,85,0,0,0,2024-01-13,2024-01-19,M,TX,0,Service,Short hours
2024-01-26,E402,Priya Shah,tipped-hourly,38,11.75,,138,1,0,0,2024-01-20,2024-01-26,M,TX,0,Service,Overtime + tips
2024-02-02,E402,Priya Shah,tipped-hourly,36,11.75,,112,0,0,0,2024-01-27,2024-02-02,M,TX,0,Service,Steady
2024-02-09,E402,Priya Shah,tipped-hourly,33,11.75,,82,0,0,0,2024-02-03,2024-02-09,M,TX,0,Service,Weekday shift
2024-02-16,E402,Priya Shah,tipped-hourly,39,11.75,,128,1,0,0,2024-02-10,2024-02-16,M,TX,0,Service,Busy week
2024-02-23,E402,Priya Shah,tipped-hourly,33,11.75,,74,0,0,0,2024-02-17,2024-02-23,M,TX,0,Service,Rainy days
2024-03-01,E402,Priya Shah,tipped-hourly,37,11.75,,120,0,0,0,2024-02-24,2024-03-01,M,TX,0,Service,Regular
2024-03-08,E402,Priya Shah,tipped-hourly,36,11.75,,118,0,0,0,2024-03-02,2024-03-08,M,TX,0,Service,Steady
