date,employee_id,employee_name,pay_type,hours_worked,hourly_rate,salary_monthly,tips_reported,overtime_hours,bonus,deductions_other,pay_period_start,pay_period_end,tax_status_federal,tax_status_state,allowances,department,notes
2024-01-05,E601,Alex Rivera,hourly,39,18.90,,0,1,0,0,2023-12-30,2024-01-05,S,FL,1,Operations,Regular week
2024-01-12,E601,Alex Rivera,hourly,40,18.90,,0,0,0,0,2024-01-06,2024-01-12,S,FL,1,Operations,Full hours
2024-01-19,E601,Alex Rivera,hourly,36,18.90,,0,0,0,0,2024-01-13,2024-01-19,S,FL,1,Operations,Left early one day
2024-01-26,E601,Alex Rivera,hourly,41,18.90,,0,1,0,0,2024-01-20,2024-01-26,S,FL,1,Operations,Small OT
2024-02-02,E601,Alex Rivera,hourly,40,18.90,,0,0,0,0,2024-01-27,2024-02-02,S,FL,1,Operations,Regular
2024-02-09,E601,Alex Rivera,hourly,40,18.90,,0,0,0,0,2024-02-03,2024-02-09,S,FL,1,Operations,Regular
2024-02-16,E601,Alex Rivera,hourly,42,18.90,,0,2,0,0,2024-02-10,2024-02-16,S,FL,1,Operations,Overtime
2024-02-23,E601,Alex Rivera,hourly,37,18.90,,0,0,0,0,2024-02-17,2024-02-23,S,FL,1,Operations,Short week
2024-03-01,E601,Alex Rivera,hourly,40,18.90,,0,0,120,0,2024-02-24,2024-03-01,S,FL,1,Operations,Spot bonus
2024-03-08,E601,Alex Rivera,hourly,39,18.90,,0,0,0,0,2024-03-02,2024-03-08,S,FL,1,Operations,Regular
2024-01-05,E602,Priya Shah,tipped-hourly,32,12.10,,90,0,0,0,2023-12-30,2024-01-05,M,FL,0,Service,Winter slowdown
2024-01-12,E602,Priya Shah,tipped-hourly,35,12.10,,125,0,0,0,2024-01-06,2024-01-12,M,FL,0,Service,Weekend rush
2024-01-19,E602,Priya Shah,tipped-hourly,30,12.10,,92,0,0,0,2024-01-13,2024-01-19,M,FL,0,Service,Short hours
2024-01-26,E602,Priya Shah,tipped-hourly,38,12.10,,140,1,0,0,2024-01-20,2024-01-26,M,FL,0,Service,Overtime + tips
2024-02-02,E602,Priya Shah,tipped-hourly,36,12.10,,110,0,0,0,2024-01-27,2024-02-02,M,FL,0,Service,Steady
2024-02-09,E602,Priya Shah,tipped-hourly,34,12.10,,88,0,0,0,2024-02-03,2024-02-09,M,FL,0,Service,Weekday shift
2024-02-16,E602,Priya Shah,tipped-hourly,39,12.10,,132,1,0,0,2024-02-10,2024-02-16,M,FL,0,Service,Busy week
2024-02-23,E602,Priya Shah,tipped-hourly,33,12.10,,76,0,0,0,2024-02-17,2024-02-23,M,FL,0,Service,Rainy days
2024-03-01,E602,Priya Shah,tipped-hourly,36,12.10,,124,0,0,0,2024-02-24,2024-03-01,M,FL,0,Service,Regular
2024-03-08,E602,Priya Shah,tipped-hourly,35,12.10,,118,0,0,0,2024-03-02,2024-03-08,M,FL,0,Service,Steady
2024-01-05,E603,Jordan Lee,salaried,0,,4050,0,0,0,0,2023-12-30,2024-01-05,S,FL,2,Admin,Monthly salary
